replicaID,rpID,appID,funcID,busyTime,upTime,reqsProcessed,lastWorkTS,shutdownTS
2024-08-09 17:12:15.038307 -0300 -03 m=+135.102475701,b81ed828cb5e719288b0c64b3e27bcd36d78d32c4e45657670b847f988fea43d-e52b340be2bf2050fd4811834485a98e6ab6dc8374d1385b0b26b4954505e60f,b81ed828cb5e719288b0c64b3e27bcd36d78d32c4e45657670b847f988fea43d,e52b340be2bf2050fd4811834485a98e6ab6dc8374d1385b0b26b4954505e60f,20.045000000000016,0,1023,1209481.5704610301,0
2024-08-09 17:12:15.1041316 -0300 -03 m=+135.168299901,b81ed828cb5e719288b0c64b3e27bcd36d78d32c4e45657670b847f988fea43d-1b9cd666a58163d6558729dda564ad936f9ebfc808e1afb40aece0f75f829155,b81ed828cb5e719288b0c64b3e27bcd36d78d32c4e45657670b847f988fea43d,1b9cd666a58163d6558729dda564ad936f9ebfc808e1afb40aece0f75f829155,15.024999999999956,0,1016,1209485.08582902,0
2024-08-09 17:12:20.5796781 -0300 -03 m=+140.643811301,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,1016.063,0,14,1117454.69827509,0
2024-08-09 17:12:20.5796781 -0300 -03 m=+140.643811301,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,1000.523,0,15,1117456.99858689,0
2024-08-09 17:12:20.5806986 -0300 -03 m=+140.644831801,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,853.149,0,23,1117454.6487329,0
2024-08-09 17:12:20.5806986 -0300 -03 m=+140.644831801,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,320.671,0,5,1116702.77026701,0
2024-08-09 17:12:20.5826989 -0300 -03 m=+140.646832101,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,467.448,0,8,1116858.208601,0
2024-08-09 17:12:20.5826989 -0300 -03 m=+140.646832101,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,287.81,0,5,1116674.95531392,0
2024-08-09 17:12:20.5826989 -0300 -03 m=+140.646832101,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,1069.817,0,13,1117487.0171051,0
2024-08-09 17:12:20.5836952 -0300 -03 m=+140.647828401,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,567.8040000000001,0,8,1116960.75058198,0
