replicaID,frpID,appID,funcID,busyTime,upTime,reqsProcessed
2024-01-08 17:44:11.884744 -0300 -03 m=+0.002953261,7b2c43a2bc30f6bb438074df88b603d2cb982d3e7961de05270735055950a568-e3cdb48830f66eb8689cc0223514569a69812b77e6611e3d59814fac0747bd2f,7b2c43a2bc30f6bb438074df88b603d2cb982d3e7961de05270735055950a568,e3cdb48830f66eb8689cc0223514569a69812b77e6611e3d59814fac0747bd2f,0.078,200.0150501651764,1
2024-01-08 17:44:11.885058 -0300 -03 m=+0.003267180,1573b95c039e51cc012b543a4af3bc7c3ee9485acbb0033ba5648b74969e0556-48cc770d590d3c5a7691b3b4e9302f82ec3be5ddc2a037d94ad2e76f44dd8946,1573b95c039e51cc012b543a4af3bc7c3ee9485acbb0033ba5648b74969e0556,48cc770d590d3c5a7691b3b4e9302f82ec3be5ddc2a037d94ad2e76f44dd8946,59.125,100.01106315994264,1
2024-01-08 17:44:11.885098 -0300 -03 m=+0.003307312,f274d71de386ccc77e4ca74766dbc485461c3053059d47266463c45ec92001b3-3d2aee54a133509f16fb636d74128c2adcfcac71c6dcef78fda1ace004f2ab47,f274d71de386ccc77e4ca74766dbc485461c3053059d47266463c45ec92001b3,3d2aee54a133509f16fb636d74128c2adcfcac71c6dcef78fda1ace004f2ab47,1006.236,1007.236,1
2024-01-08 17:44:11.885148 -0300 -03 m=+0.003357596,f274d71de386ccc77e4ca74766dbc485461c3053059d47266463c45ec92001b3-3d2aee54a133509f16fb636d74128c2adcfcac71c6dcef78fda1ace004f2ab47,f274d71de386ccc77e4ca74766dbc485461c3053059d47266463c45ec92001b3,3d2aee54a133509f16fb636d74128c2adcfcac71c6dcef78fda1ace004f2ab47,12.472,0,1
